Year,NYC M.A. (C°),Global M.A. (C°)
1913,10.76,8.3
1914,9.89,8.44
1915,9.88,8.49
1916,9.68,8.43
1917,9.39,8.35
1918,9.41,8.31
1919,9.5,8.32
1920,9.46,8.32
1921,9.63,8.35
1922,9.67,8.36
1923,9.65,8.36
1924,9.59,8.38
1925,9.6,8.39
1926,9.52,8.41
1927,9.53,8.42
1928,9.47,8.44
1929,9.53,8.42
1930,9.56,8.42
1931,9.69,8.45
1932,9.83,8.5
1933,9.88,8.51
1934,9.84,8.53
1935,9.86,8.54
1936,9.78,8.54
1937,9.79,8.56
1938,9.85,8.59
1939,9.93,8.6
1940,9.85,8.62
1941,9.96,8.62
1942,9.98,8.64
1943,9.96,8.65
1944,9.97,8.69
1945,9.95,8.68
1946,9.92,8.68
1947,9.88,8.69
1948,9.86,8.71
1949,9.99,8.71
1950,10.0,8.7
1951,10.04,8.71
1952,10.06,8.7
1953,10.11,8.7
1954,10.13,8.69
1955,10.25,8.68
1956,10.23,8.65
1957,10.26,8.65
1958,10.23,8.65
1959,10.28,8.64
1960,10.27,8.64
1961,10.23,8.65
1962,10.19,8.65
1963,10.16,8.65
1964,10.06,8.64
1965,10.06,8.65
1966,10.02,8.65
1967,9.94,8.65
1968,9.85,8.63
1969,9.81,8.63
1970,9.77,8.64
1971,9.79,8.66
1972,9.72,8.64
1973,9.84,8.66
1974,9.79,8.64
1975,9.85,8.65
1976,9.81,8.62
1977,9.86,8.63
1978,9.85,8.61
1979,9.85,8.64
1980,9.86,8.67
1981,9.88,8.7
1982,9.91,8.7
1983,9.96,8.73
1984,9.99,8.74
1985,10.03,8.74
1986,10.04,8.75
1987,10.09,8.78
1988,10.02,8.8
1989,9.99,8.83
1990,10.05,8.86
1991,10.17,8.92
1992,10.14,8.92
1993,10.2,8.93
1994,10.2,8.95
1995,10.22,8.98
1996,10.21,8.97
1997,10.23,9.0
1998,10.32,9.04
1999,10.38,9.08
2000,10.36,9.11
2001,10.41,9.15
2002,10.47,9.19
2003,10.46,9.21
2004,10.51,9.24
2005,10.47,9.27
2006,10.48,9.29
2007,10.55,9.35
2008,10.59,9.39
2009,10.6,9.42
2010,10.68,9.45
2011,10.77,9.48
2012,10.9,9.5
2013,10.93,9.5
